,RV
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,-1.9296009166456445
8,-5.808208526010157
9,-9.287394496063985
10,-10.08048496200915
11,-7.810434657537935
12,-3.001096604990383
13,2.896347971579063
14,8.008979720980255
15,10.075410471886695
16,9.275384116070214
17,5.798047117473798
18,1.9258083813733615
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
