,Unnamed: 0,Filename,Pvals,SAFE,b1,b0,b2,b3,b4,b5,t1,t0,t2,t3,t4,t5
40,40,10700spec/10700_191108.1083ctd_2.csv,0.0010396612580913763,4.086014948755711,1.4858824285159111,0.17713908978603274,-0.09047307785269584,0.07280405077222406,0.5025101563295126,-0.03745601711034259,2.693287703789208,3.71994318282672,-1.8081748643866653,0.7917466417224133,2.09819145963649,-0.17811584892701676
41,41,10700spec/10700_191108.1084ctd_2.csv,1.6552411756760388e-06,6.96144985351107,1.1884994044987789,0.2769422759870768,-0.06775650388936115,-0.027016399023137745,-0.16323541393140772,0.09807424906431793,2.1782608863763206,5.821433847056767,-1.3700126357841544,-0.2877448109530256,-0.6813164201005435,0.4622362802247205
42,42,10700spec/10700_191108.1085ctd_2.csv,0.00011690126806543672,5.080428540500536,-0.265525281350315,0.17722813913137056,0.000831375264557491,0.058777517504151236,0.5670474682610942,0.4024247678716403,-0.4907888326740989,3.7907097673537056,0.01696672177107823,0.6566635595999614,2.4156443546568807,1.9192784579944204
43,43,10700spec/10700_191108.1086ctd_2.csv,0.1523064134784646,1.6145310169785017,-0.3846529611212459,-0.05854369170189129,0.0572538386990355,0.14039200074014924,-0.2007531575320796,-0.3401600057633606,-0.7046325346688769,-1.2307977429312302,1.1587993715388385,1.5495923280695767,-0.8516039143803159,-1.6202792911565504
44,44,10700spec/10700_191109.1139ctd_2.csv,0.14553508413477403,1.6401810260361576,2.7136023522362374,0.05374359681720852,0.08568943301801138,-0.09867181328242282,-0.21800239550894376,-0.2695493118869925,4.957867805882642,1.1324462837924598,1.7358032317776966,-1.092045897304375,-0.9370461535071279,-1.2789586444500731
45,45,10700spec/10700_191109.1140ctd_2.csv,3.283824171594569e-06,6.662321624572178,1.6984232549368772,0.2297674841568053,-0.16232470923441505,-0.0732239360393342,0.0068120107762636856,-0.3536547879514941,3.0878798930707267,4.8128671230830875,-3.2564318719062197,-0.7953800953246811,0.028342685437523413,-1.6664261916770993
46,46,10700spec/10700_191109.1141ctd_2.csv,0.01069727141564638,2.9850417273717094,1.2112238574344238,0.1412439656827578,-0.1198190076178769,-0.0626292024651928,-0.14316991509648908,-0.2653220684085705,2.194664414013531,2.962496356880842,-2.3994284891438062,-0.6751035962079571,-0.5908132107092519,-1.2488074020326732
47,47,10700spec/10700_191109.1142ctd_2.csv,0.11822719997533508,1.755858356388107,1.2428072837296325,-0.02379927456966161,-0.12123066475380745,-0.016183159846849125,0.0971591690295865,0.3022879893355173,2.260681689055536,-0.5008087287190088,-2.436917545197668,-0.18068135717817574,0.4079099030660976,1.4401283953577273
48,48,10700spec/10700_191109.1143ctd_2.csv,0.0018131016086463203,3.82804819450473,2.05312859866041,0.13771780899404362,-0.08166233276992946,-0.08105750434681047,0.5506534441636091,-0.3220130022242724,3.7564585352386386,2.8953923306126663,-1.6533410864875702,-0.8820388447141658,2.320477492167392,-1.5281836226747885
49,49,10700spec/10700_191110.1085ctd_2.csv,0.161713509124733,1.5805272307797458,3.3904077409112983,0.10830600916656083,-0.02774228062105802,-0.03320307727357341,-0.07701330164866635,-0.4189262009132561,5.671568691043088,2.0849861946587103,-0.5103805790671605,-0.33858947007988105,-0.29832315329156545,-1.8446200863590718
50,50,10700spec/10700_191110.1086ctd_2.csv,0.2830603331240528,1.249150393297023,0.8845890433627034,0.08305575628176788,0.014275292745943352,0.09090839965196616,-0.4097550379001566,-5.0133508455729725e-16,1.5046350247201845,1.6184210666328958,0.26666137337308937,0.9631792974640544,-1.6122498267735457,-2.2316158919562667e-15
51,51,10700spec/10700_191110.1087ctd_2.csv,0.012662984278348359,2.9029003565717595,2.7382541799737985,0.12824292660224584,-0.05548589469278719,-0.1372351911021852,-0.23613827692645697,0.51532691470333,4.638976351956066,2.4928973305443782,-1.0371990474620532,-1.4147031556104122,-0.9270407972281312,2.27345000331
52,52,10700spec/10700_191110.1088ctd_2.csv,0.3800249199236617,1.0606440872348828,1.3570257938442438,0.08052394955315427,0.03776172754976943,0.04421534462278317,-0.23483025390586926,-0.258379892424248,2.2758122457740404,1.5545731195805919,0.6980909231128202,0.4481558990942651,-0.92144651142901,-1.123260082451823
53,53,10700spec/10700_191110.1089ctd_2.csv,0.4343566081864151,0.9701880818262664,2.8798354392694896,0.0943088152558219,-1.994931997373328e-17,0.12133917769074792,0.039096560503372915,-0.08324129728452502,4.654570967164936,1.762407719227132,-3.56347501358673e-16,1.1980143378209394,0.14758813555771186,-0.3480909800266361
54,54,10700spec/10700_191111.1126ctd_2.csv,0.2293741755978143,1.3769686515650337,-0.8175182849302385,-0.0519670725351989,0.10700719106752793,0.11054656103562444,-0.07788430649935985,-0.025629019747705442,-1.5060692158270172,-1.1008980097017702,2.1644289006394466,1.218442135749972,-0.330036458140341,-0.12049777912902017
55,55,10700spec/10700_191111.1127ctd_2.csv,0.6901097494857441,0.6128130588058183,-1.4225360855427167,0.021218496133540897,0.05598341297368363,0.08049799757552836,-0.07866630939745937,0.11269208588712447,-2.6797799894621024,0.46040562494829795,1.1579008856368496,0.8904155046277827,-0.3371738332185017,0.5478168732328583
56,56,10700spec/10700_191111.1128ctd_2.csv,0.5912978888087181,0.7427856780052661,-0.44315211568584656,0.07690147912632876,-0.03497542055778854,-4.510281037539698e-16,-0.05921269304896325,0.17832068509126503,-0.8197385379303203,1.6318072845267442,-0.7092146928390011,-4.924421277088736e-15,-0.2500726313465549,0.8481956313633477
57,57,10700spec/10700_191111.1129ctd_2.csv,0.7748746576226001,0.5021474605407912,-0.33718515235034674,0.0019781585660682784,0.0471364420913888,0.07875865316825836,0.16102373852297386,0.1138326498894586,-0.625698352133585,0.041961075764944185,0.9621272718715944,0.8628667470713832,0.6777126974451574,0.5395199912144194
58,58,10700spec/10700_191111.1130ctd_2.csv,3.7212550172922054e-09,9.585966426668351,-0.9750789703924884,0.24374565235525106,-0.25100179649844456,0.05738860172566075,0.378580543372489,-0.11398418724358775,-1.7900333804893147,5.1700613510293785,-5.088797697450401,0.6256122044523283,1.5924909167841133,-0.5338408981222326
