Wv_lbounds,Wv_ubounds,Minflux,MinWvl,Maxflux,Gauss_amp,Gauss_mu,Gauss_sig,Continuum,SOAPamp_0,SOAPamp_2,SOAPamp_3,SOAPamp_4,SOAPamp_5
4470.0123,4470.1962,0.3882842757150011,4470.0682,0.9855901851768213,0.5786957071232386,4470.0674519551785,0.03376812954780903,0.9675379358157159,-0.0004778301320319784,0.000441139794806297,0.0005810432781967118,-0.00012576829338340888,3.4546302421390347e-06
4470.2084,4470.612,0.23814736440314765,4470.4161,0.9856659850306303,0.7187787209036943,4470.416133392899,0.0423095200330542,0.9703900689703067,-0.00041271159909049294,0.00045120369338753273,7.167999906116828e-05,-9.691173376606589e-05,-7.310893711196082e-05
4470.6198,4470.9599,0.3254437440160525,4470.7877,0.9907315927932244,0.6440472429534295,4470.78613212848,0.03680528251094121,0.9748304969855505,-0.0004617243701057757,0.000490330964327992,0.00029130682747578035,-7.327299819970967e-05,-8.895281518713989e-05
4471.0478,4471.292,0.4909197454146589,4471.1759999999995,0.9954931320319044,0.4883144203132464,4471.175891682314,0.03250007306445563,0.9834269084542149,-0.0004288830770794988,0.0004523578921563455,-3.876572461346595e-05,-7.574906689279341e-05,-2.606437896474918e-06
4471.2998,4471.3958,0.9470568943441969,4471.3598,0.9722292260304941,0.040314456148995224,4471.364055031385,0.09599995690364627,0.9948408479048102,-0.0024026235023885288,-0.00486029203868779,0.006378044199151264,-0.0024729583272667297,0.0026117598587438754
4471.407999999999,4471.5318,0.8705371661253063,4471.4958,0.954344862219362,0.0951368348161267,4471.500323138249,0.04206035461287641,0.9646120257624113,-3.8558615701036154e-05,1.43443657648834e-05,-0.00027640927250484473,-3.6297224055814424e-05,4.301814515937991e-05
4471.5438,4471.692,0.7218542748375733,4471.6118,0.940834994381171,0.24229930928802543,4471.613815623139,0.03011722391764839,0.973267085445873,-0.00020590994078401568,0.0002550411148306413,0.0001813139447643911,-9.213771702030946e-05,2.2035142293216155e-05
4471.7036,4471.94,0.9159584307341843,4471.7478,0.9813030498287472,0.058928949133019055,4471.762602413526,0.0579272975368991,0.9816892230252477,-7.054008827859275e-06,1.3601751088001878e-05,9.157848478461581e-05,-5.549319040050298e-05,0.00011190353333288209
4472.0599,4472.2279,0.97444433283357,4472.1241,0.9956397323325834,0.015214066977489452,4472.120852580711,0.032298627496680436,0.9896904389339884,-1.3111148912403188e-05,1.4072816633452777e-05,-1.1177238376161393e-06,2.401731603673712e-06,6.300617116601855e-06
4472.2357,4472.3922,0.9602661142498711,4472.3402,0.9956958521581029,0.035051677773753245,4472.340561928283,0.027542774699316444,0.9952968624616596,-3.937058657800392e-05,4.6375729848391056e-05,4.520292918753113e-05,-9.551768508514637e-06,-1.3418408526709678e-05
4472.4038,4472.5038,0.9622910132920343,4472.4518,0.987155090011797,0.09606186254407703,4472.466106624751,0.03719332835439806,1.0999976359685106,-2.4275755166129577e-05,3.7240647552294907e-06,-0.0002275815595434772,-3.252976678623004e-05,4.427806429325907e-05
4472.516,4472.7924,0.3611865499526683,4472.6559,0.9839666644253627,0.6683323631922543,4472.686057728392,0.06272247206294433,1.0048632554967583,-0.00011345699850419802,0.0004520714407040835,0.0014689726863743287,0.0004833097588635659,0.0008531375639015299
4472.8002,4473.0085,0.499135534218785,4472.8602,0.9724332106842319,0.454560870357415,4472.866241924378,0.040256246669570166,1.0765719938628533,-0.00021405970562805434,0.000322131332694362,-0.00030945276166725226,-8.910620507958458e-05,0.00021430733794647647
4473.0201,4473.2285,0.9667836374509345,4473.1086,0.999625177239185,0.029321998735855805,4473.042255272466,0.09136700914888626,0.9943190722239202,6.3416814316923426e-06,-3.898998279228251e-06,0.00023249738615572406,-1.3040160756970236e-05,7.736800614784572e-05
4473.4847,4473.6046,0.9618003650166441,4473.5608,0.9883642146575004,0.03059196932990029,4473.559396479127,0.03951859497144141,0.9937670434773872,-1.1878752174216487e-05,2.8438594336741034e-05,-8.500994036273687e-05,-8.011549721722919e-06,-2.7180852901140756e-05
4473.6128,4473.7129,0.9236640381431985,4473.6849,0.9711624851386348,0.07010771497127721,4473.680257567628,0.03416130408970171,0.9964683949863044,-2.6754017715535285e-05,4.711334820493061e-05,-0.000179422280802148,-2.831001234175175e-05,-6.922541818395855e-05
4473.7251,4473.8611,0.9158163531402038,4473.7609999999995,0.9971477460720585,0.07051611562053188,4473.768626425461,0.029749511534104465,0.9992543485416358,-4.5299252509696544e-05,7.854851990893991e-05,-2.397459536450321e-05,-2.1364373331716037e-05,3.4867617755504625e-05
4473.8729,4474.0493,0.9405479592735089,4473.9934,0.9971889244232065,0.031726499796395795,4473.978796482542,0.03762044375842494,1.0079282649679255,-2.331677156114934e-05,3.0579444903410696e-05,4.725290624869642e-05,1.1923826474466182e-05,-1.2921366190002033e-05
4474.2213,4474.3779,0.9250772105109695,4474.3418,0.9798482356554423,0.05515245724875678,4474.346851208182,0.05099775406132597,0.983770746012487,9.502548965723368e-06,-5.633578991000515e-05,-0.0007238294309490373,-0.00015061253591636315,-0.00019808781137395154
4474.3895,4474.5737,0.8787017441982075,4474.494000000001,0.9559840388182073,0.10758557901755655,4474.496214576741,0.04125342834876036,0.9995634653237729,-4.4581370975175376e-05,5.19437271780131e-05,3.310421787050469e-05,-2.9730519697998033e-05,-4.588590842373069e-05
4474.582,4474.7302,0.8077755417877311,4474.6981,0.9556814091252356,0.1588147186834765,4474.692317540767,0.047916997255341376,0.9658216247821836,-4.6953825462635355e-05,3.658938384827884e-05,-0.0004182457439632326,-3.248555993359341e-05,-0.0002091451609593332
